Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),File format type (product.metafields.shopify.file-format-type),Fit (product.metafields.shopify.fit),Frame style (product.metafields.shopify.frame-style),Neckline (product.metafields.shopify.neckline),Operating system (product.metafields.shopify.operating-system),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Wallpaper theme (product.metafields.shopify.wallpaper-theme),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
flare-sweatpants-khaki,Flare Sweatpants Khaki,"<ul>
<li><strong>Flares at the bottom</strong></li>
<li><b>Model wearing a Medium</b></li>
<li><b>Logo embroidery</b></li>
</ul>",1NRI,Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants,clothing,"Inri Mainline, Men, Tracksuits, Women",true,Color,beige,product.metafields.shopify.color-pattern,Size,s-1,product.metafields.shopify.size,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9633-2_3fb7b994-26d5-4a32-8964-2660ec1023ab.jpg?v=1770664443,1,"",false,,,adjustable-waistband; breathable-design,universal,,beige,cotton,,,,,,long,s-1; m-1; l-1; xl; xxl; xxxl,,female; unisex; male,,,,,,,,,,kg,,162.00,active
flare-sweatpants-khaki,,,,,,,,,beige,,,m-1,,,,,,500.0,shopify,5,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9764-2.jpg?v=1770664443,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-khaki,,,,,,,,,beige,,,l-1,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9645-2_d941bcb3-5da9-4007-a32c-161010a43348.jpg?v=1770664443,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-khaki,,,,,,,,,beige,,,xl,,,,,,500.0,shopify,5,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-khaki,,,,,,,,,beige,,,xxl,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-khaki,,,,,,,,,beige,,,xxxl,,,,,,500.0,shopify,0,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-grey,Flare Sweatpants Grey,"<ul>
<li><strong>Flares at the bottom</strong></li>
<li><b>Model wearing a Medium</b></li>
<li><b>Logo embroidery</b></li>
</ul>",1NRI,Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants,clothing,"Inri Mainline, Men, Tracksuits, Women",true,Color,gray-1,product.metafields.shopify.color-pattern,Size,s-1,product.metafields.shopify.size,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9866-2.jpg?v=1770662887,1,"",false,,,adjustable-waistband; breathable-design,universal,,gray-1,cotton,,,,,,long,s-1; m-1; l-1; xl; xxl; xxxl,,female; unisex; male,,,,,,,,,,kg,,162.00,active
flare-sweatpants-grey,,,,,,,,,gray-1,,,m-1,,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9857-2.jpg?v=1770662887,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-grey,,,,,,,,,gray-1,,,l-1,,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9851-2.jpg?v=1770662887,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-grey,,,,,,,,,gray-1,,,xl,,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9667-2.jpg?v=1770662887,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-grey,,,,,,,,,gray-1,,,xxl,,,,,,500.0,shopify,0,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-grey,,,,,,,,,gray-1,,,xxxl,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-navy-blue,Flare Sweatpants Navy Blue,"<ul>
<li><strong>Flares at the bottom</strong></li>
<li><strong>Features slit at the bottom(5cm)</strong></li>
<li><b>Model wearing a Medium</b></li>
<li><b>Logo embroidery</b></li>
</ul>",1NRI,Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants,clothing,"Inri Mainline, Men, Tracksuits, Women",true,Color,navy,product.metafields.shopify.color-pattern,Size,s-1,product.metafields.shopify.size,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9784-2.jpg?v=1770662224,1,"",false,,,adjustable-waistband; breathable-design,universal,,navy,cotton,,,,,,long,s-1; m-1; l-1; xl; xxl; xxxl,,female; unisex; male,,,,,,,,,,kg,,162.00,active
flare-sweatpants-navy-blue,,,,,,,,,navy,,,m-1,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9774-2.jpg?v=1770662223,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-navy-blue,,,,,,,,,navy,,,l-1,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9810-2.jpg?v=1770662223,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-navy-blue,,,,,,,,,navy,,,xl,,,,,,500.0,shopify,2,deny,manual,320.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/5W7A9833-2.jpg?v=1770662223,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-navy-blue,,,,,,,,,navy,,,xxl,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
flare-sweatpants-navy-blue,,,,,,,,,navy,,,xxxl,,,,,,500.0,shopify,1,deny,manual,320.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,162.00,
first-love-pants-option,First Love (Pants Option),"<p>Features a Special Note </p>
<p>Free Delivery</p>",1NRI,Apparel & Accessories > Clothing,clothing,"Inri Mainline, Men, Women",false,Flare Sweatpants (Color),Black,,Flare Sweatpants (Size),S,,,,,,0.0,shopify,1,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/4.png?v=1769614680,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
first-love-pants-option,,,,,,,,,Black,,,M,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_m1vnttm1vnttm1vn.png?v=1769412091,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Black,,,L,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_oe4iwyoe4iwyoe4i.png?v=1769411801,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Black,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_73e4qe73e4qe73e4.png?v=1769412091,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Black,,,XXL,,,,,,0.0,shopify,1,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pants.jpg?v=1769412091,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Navy Blue,,,S,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_oe4iwyoe4iwyoe4i_2ac78782-ed14-4fd5-a6bb-5df75c964d24.png?v=1769412091,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Navy Blue,,,M,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Navy Blue,,,L,,,,,,0.0,shopify,3,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Navy Blue,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Navy Blue,,,XXL,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Khaki,,,S,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Khaki,,,M,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Khaki,,,L,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Khaki,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Khaki,,,XXL,,,,,,0.0,shopify,3,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Grey,,,S,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Grey,,,M,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Grey,,,L,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Grey,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love-pants-option,,,,,,,,,Grey,,,XXL,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,First Love(Tops),"<p>Each piece comes with:</p>
<p>Special Note </p>
<p>Free delivery</p>
<p>No customizable options</p>",1NRI,Apparel & Accessories > Clothing,clothing,"Accessories, Inri Mainline, Men, Women",false,Tops (Product),Quarter Zip Black,,Tops (Size),S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/4.png?v=1769614680,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
first-love,,,,,,,,,Quarter Zip Black,,,M,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Quarter Zip Black,,,L,,,,,,0.0,shopify,1,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Quarter Zip Black,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Quarter Zip Black,,,XXL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Button up,,,S,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_sleeve_tee_back_9e351298-0a9f-4576-902c-f9be0f38e60c.png?v=1768832206,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Button up,,,M,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-104.jpg?v=1767263119,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Button up,,,L,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-135.jpg?v=1767261286,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Button up,,,XL,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Button up,,,XXL,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Tee,,,S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Tee,,,M,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Tee,,,L,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Tee,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dusk Before Dawn Tee,,,XXL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,M,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,L,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,XL,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,XXL,,,,,,0.0,shopify,2,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Cream Mothers Smile,,,S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,,
first-love,,,,,,,,,Cream Mothers Smile,,,M,,,,,,0.0,shopify,3,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,,
first-love,,,,,,,,,Cream Mothers Smile,,,L,,,,,,0.0,shopify,3,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,,
first-love,,,,,,,,,Cream Mothers Smile,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,,
first-love,,,,,,,,,Cream Mothers Smile,,,XXL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,,
first-love,,,,,,,,,Dry Bones White,,,S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dry Bones White,,,M,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dry Bones White,,,L,,,,,,0.0,shopify,1,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dry Bones White,,,XL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Dry Bones White,,,XXL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,J'adore Baby Tee,,,S,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,J'adore Baby Tee,,,M,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,J'adore Baby Tee,,,L,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,J'adore Baby Tee,,,XL,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,J'adore Baby Tee,,,XXL,,,,,,0.0,,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Olive Grove,,,S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Olive Grove,,,M,,,,,,0.0,shopify,3,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Olive Grove,,,L,,,,,,0.0,shopify,1,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Olive Grove,,,XL,,,,,,0.0,shopify,3,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Olive Grove,,,XXL,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
first-love,,,,,,,,,Mothers Smile Grey,,,S,,,,,,0.0,shopify,0,deny,manual,400.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,kg,,,
